,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2024-12-16T16:11:55.695+01:00, 0.113E+00,   0.11290, 0.73214E+01
       2,2024-12-16T16:11:55.967+01:00, 0.113E+00,   0.22580, 0.75933E+01
       3,2024-12-16T16:11:56.314+01:00, 0.113E+00,   0.33870, 0.79386E+01
       4,2024-12-16T16:11:56.589+01:00, 0.113E+00,   0.45160, 0.82132E+01
       5,2024-12-16T16:11:56.864+01:00, 0.113E+00,   0.56450, 0.84887E+01
       6,2024-12-16T16:11:57.212+01:00, 0.113E+00,   0.67740, 0.88370E+01
       7,2024-12-16T16:11:57.486+01:00, 0.113E+00,   0.79030, 0.91106E+01
       8,2024-12-16T16:11:57.759+01:00, 0.113E+00,   0.90320, 0.93839E+01
       9,2024-12-16T16:11:58.106+01:00, 0.113E+00,   1.01610, 0.97309E+01
      10,2024-12-16T16:11:58.381+01:00, 0.113E+00,   1.12900, 0.10006E+02
      20,2024-12-16T16:12:01.296+01:00, 0.113E+00,   2.25800, 0.12919E+02
      30,2024-12-16T16:12:04.291+01:00, 0.113E+00,   3.38701, 0.15914E+02
      40,2024-12-16T16:12:07.215+01:00, 0.113E+00,   4.51601, 0.18837E+02
      50,2024-12-16T16:12:10.178+01:00, 0.113E+00,   5.64501, 0.21798E+02
      60,2024-12-16T16:12:13.219+01:00, 0.113E+00,   6.77401, 0.24839E+02
      70,2024-12-16T16:12:16.173+01:00, 0.113E+00,   7.90301, 0.27792E+02
      80,2024-12-16T16:12:19.272+01:00, 0.795E-01,   8.88277, 0.30891E+02
      90,2024-12-16T16:12:22.425+01:00, 0.584E-01,   9.55875, 0.34044E+02
     100,2024-12-16T16:12:25.368+01:00, 0.584E-01,  10.14322, 0.36986E+02
     200,2024-12-16T16:12:54.692+01:00, 0.569E-01,  15.51479, 0.66289E+02
     300,2024-12-16T16:13:23.812+01:00, 0.728E-01,  22.31306, 0.95399E+02
     400,2024-12-16T16:13:52.907+01:00, 0.738E-01,  29.64729, 0.12445E+03
     500,2024-12-16T16:14:21.684+01:00, 0.113E+00,  38.72576, 0.15322E+03
     556,2024-12-16T16:14:37.856+01:00, 0.647E-01,  45.00000, 0.16937E+03
