s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-7.4034237E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4034237E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1290019E-001, 0.0000000E+000,-2.8747999E-003,-5.0103834E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3758382E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2580038E-001, 0.0000000E+000,-2.8741362E-003,-9.1330171E-004, 4.3003100E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9235018E-003,-3.7870079E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.3870056E-001, 0.0000000E+000,-2.1089227E-003,-1.0153371E-003, 8.4704503E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9225633E-003,-3.1234127E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.5160076E-001, 0.0000000E+000,-2.1084360E-003,-9.7161451E-004, 1.1389297E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1439765E-003,-3.0789116E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.6450093E-001, 0.0000000E+000,-2.1079495E-003,-8.5900482E-004, 1.4203541E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1432079E-003,-2.9655340E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7740113E-001, 0.0000000E+000,-1.5416859E-003,-7.4470529E-004, 1.6915006E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1424622E-003,-2.2846996E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9030132E-001, 0.0000000E+000,-1.5413303E-003,-6.5644790E-004, 1.8941492E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5662797E-003,-2.1958841E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0320152E-001, 0.0000000E+000,-1.5409749E-003,-5.8416082E-004, 2.1254818E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5657120E-003,-2.1230102E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0161017E+000, 0.0000000E+000,-1.0889069E-003,-5.3829912E-004, 2.3614785E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5651134E-003,-1.6248446E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1290019E+000, 0.0000000E+000,-1.0886561E-003,-5.0284398E-004, 2.5257036E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1051435E-003,-1.5889743E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2419021E+000, 0.0000000E+000,-1.0884053E-003,-4.7167686E-004, 2.7045099E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1047287E-003,-1.5573776E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3548023E+000, 0.0000000E+000,-8.9585017E-004,-4.3126867E-004, 2.8664541E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1043163E-003,-1.3242524E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4677025E+000, 0.0000000E+000,-8.9564397E-004,-3.8888961E-004, 3.0267129E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0834332E-004,-1.2815069E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5806026E+000, 0.0000000E+000,-8.9543784E-004,-3.1109801E-004, 3.1627697E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0805298E-004,-1.2033731E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6935028E+000, 0.0000000E+000,-8.9528910E-004,-2.1055532E-004, 3.3083030E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0773030E-004,-1.1025361E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8064030E+000, 0.0000000E+000,-8.9508309E-004,-1.2197407E-004, 3.4511843E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0751417E-004,-1.0136060E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9193032E+000, 0.0000000E+000,-8.9487715E-004,-2.5598691E-005, 3.5578012E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0722771E-004,-9.1691804E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0322034E+000, 0.0000000E+000,-6.2224274E-004, 7.9162671E-005, 3.7198527E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.0694674E-004,-5.3936021E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.1451037E+000, 0.0000000E+000,-6.2209982E-004, 1.6993435E-004, 3.8186275E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2958857E-004,-4.4834684E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.2580037E+000, 0.0000000E+000,-6.2195694E-004, 2.3296178E-004, 3.9494150E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2938536E-004,-3.8504575E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.3709040E+000, 0.0000000E+000,-4.0800571E-004, 3.0369691E-004, 4.0345306E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.2914290E-004,-1.0027427E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4838042E+000, 0.0000000E+000,-4.0791231E-004, 3.6133469E-004, 4.0835658E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1145579E-004,-4.2494047E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5967042E+000, 0.0000000E+000,-4.0781895E-004, 3.9592555E-004, 4.1549846E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1126312E-004,-7.7384133E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.7096045E+000, 0.0000000E+000,-2.4236245E-004, 4.2798490E-004, 4.2413173E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1105840E-004, 1.8986376E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
