,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-01-23T13:27:35.661+01:00, 0.113E+00,   0.11290, 0.67159E+01
       2,2025-01-23T13:27:35.913+01:00, 0.113E+00,   0.22580, 0.69676E+01
       3,2025-01-23T13:27:36.232+01:00, 0.113E+00,   0.33870, 0.72865E+01
       4,2025-01-23T13:27:36.484+01:00, 0.113E+00,   0.45160, 0.75379E+01
       5,2025-01-23T13:27:36.733+01:00, 0.113E+00,   0.56450, 0.77872E+01
       6,2025-01-23T13:27:37.052+01:00, 0.113E+00,   0.67740, 0.81057E+01
       7,2025-01-23T13:27:37.304+01:00, 0.113E+00,   0.79030, 0.83577E+01
       8,2025-01-23T13:27:37.555+01:00, 0.113E+00,   0.90320, 0.86081E+01
       9,2025-01-23T13:27:37.875+01:00, 0.113E+00,   1.01610, 0.89285E+01
      10,2025-01-23T13:27:38.125+01:00, 0.113E+00,   1.12900, 0.91783E+01
      20,2025-01-23T13:27:40.828+01:00, 0.113E+00,   2.25800, 0.11881E+02
      30,2025-01-23T13:27:43.586+01:00, 0.113E+00,   3.38701, 0.14637E+02
      40,2025-01-23T13:27:46.276+01:00, 0.113E+00,   4.51601, 0.17325E+02
      50,2025-01-23T13:27:49.221+01:00, 0.102E+00,   5.63366, 0.20269E+02
      60,2025-01-23T13:27:52.544+01:00, 0.459E-01,   6.22415, 0.23550E+02
      70,2025-01-23T13:27:55.510+01:00, 0.323E-01,   6.61295, 0.26515E+02
      80,2025-01-23T13:27:58.413+01:00, 0.233E-01,   6.86848, 0.29418E+02
      90,2025-01-23T13:28:01.331+01:00, 0.206E-01,   7.09921, 0.32335E+02
     100,2025-01-23T13:28:04.210+01:00, 0.206E-01,   7.30547, 0.35215E+02
     200,2025-01-23T13:28:33.039+01:00, 0.188E-01,   9.07060, 0.64040E+02
     300,2025-01-23T13:29:02.298+01:00, 0.177E-01,  10.87627, 0.93292E+02
     400,2025-01-23T13:29:31.162+01:00, 0.166E-01,  12.74629, 0.12213E+03
     500,2025-01-23T13:30:01.512+01:00, 0.186E-01,  14.60565, 0.15224E+03
     600,2025-01-23T13:30:31.301+01:00, 0.239E-01,  16.54092, 0.18188E+03
     700,2025-01-23T13:30:59.553+01:00, 0.403E-01,  20.58063, 0.21012E+03
     800,2025-01-23T13:31:28.259+01:00, 0.437E-01,  24.62584, 0.23881E+03
     900,2025-01-23T13:31:57.095+01:00, 0.413E-01,  28.92899, 0.26752E+03
    1000,2025-01-23T13:32:26.335+01:00, 0.558E-01,  33.58375, 0.29657E+03
    1021,2025-01-23T13:32:32.052+01:00, 0.469E-01,  35.00000, 0.30228E+03
