s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-4.3468825E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3468825E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3036591E-001, 0.0000000E+000,-5.0818016E-017,-1.1669746E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1669746E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.6073182E-001, 0.0000000E+000,-1.3418366E-011,-2.1406652E-004,-3.8882327E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.1184315E-008,-2.1407042E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9109772E-001, 0.0000000E+000,-2.5682872E-011,-2.2923720E-004,-8.8679239E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9551989E-008,-2.2924609E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.2146363E-001, 0.0000000E+000,-3.5066577E-011,-1.9670932E-004,-1.5577808E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.5782404E-008,-1.9672493E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.5182954E-001, 0.0000000E+000,-4.3392453E-011,-1.4361337E-004,-1.7581817E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1746205E-008,-1.4363099E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8219545E-001, 0.0000000E+000,-5.1573638E-011,-9.6067357E-005,-2.5671432E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5761828E-008,-9.6093080E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.1256136E-001, 0.0000000E+000,-5.0994362E-011,-5.3532195E-005,-2.8779617E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2186312E-009,-5.3561025E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0429273E+000, 0.0000000E+000,-4.5162830E-011,-2.5767718E-005,-2.8990417E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2251179E-008,-2.5796754E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
