,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2024-12-16T10:02:23.587+01:00, 0.130E+00,   0.13037, 0.51657E+01
       2,2024-12-16T10:02:23.637+01:00, 0.130E+00,   0.26073, 0.52154E+01
       3,2024-12-16T10:02:23.698+01:00, 0.130E+00,   0.39110, 0.52765E+01
       4,2024-12-16T10:02:23.747+01:00, 0.130E+00,   0.52146, 0.53257E+01
       5,2024-12-16T10:02:23.795+01:00, 0.130E+00,   0.65183, 0.53729E+01
       6,2024-12-16T10:02:23.858+01:00, 0.130E+00,   0.78220, 0.54356E+01
       7,2024-12-16T10:02:23.906+01:00, 0.130E+00,   0.91256, 0.54839E+01
       8,2024-12-16T10:02:23.954+01:00, 0.130E+00,   1.04293, 0.55313E+01
       9,2024-12-16T10:02:24.018+01:00, 0.130E+00,   1.17329, 0.55955E+01
      10,2024-12-16T10:02:24.066+01:00, 0.130E+00,   1.30366, 0.56426E+01
      20,2024-12-16T10:02:24.576+01:00, 0.130E+00,   2.60732, 0.61523E+01
      30,2024-12-16T10:02:25.098+01:00, 0.130E+00,   3.91098, 0.66739E+01
      40,2024-12-16T10:02:25.603+01:00, 0.130E+00,   5.21464, 0.71781E+01
      50,2024-12-16T10:02:26.104+01:00, 0.130E+00,   6.51830, 0.76791E+01
      60,2024-12-16T10:02:26.621+01:00, 0.130E+00,   7.82195, 0.81958E+01
      70,2024-12-16T10:02:27.122+01:00, 0.130E+00,   9.12561, 0.86963E+01
      80,2024-12-16T10:02:27.625+01:00, 0.130E+00,  10.42927, 0.91989E+01
      90,2024-12-16T10:02:28.265+01:00, 0.437E-01,  11.18664, 0.98386E+01
     100,2024-12-16T10:02:28.844+01:00, 0.285E-01,  11.51578, 0.10416E+02
     200,2024-12-16T10:02:34.362+01:00, 0.105E-01,  12.71855, 0.15932E+02
     300,2024-12-16T10:02:39.777+01:00, 0.101E-01,  13.68589, 0.21344E+02
     400,2024-12-16T10:02:45.229+01:00, 0.941E-02,  14.64287, 0.26793E+02
     500,2024-12-16T10:02:50.681+01:00, 0.107E-01,  15.64359, 0.32241E+02
     600,2024-12-16T10:02:56.086+01:00, 0.125E-01,  16.70488, 0.37643E+02
     700,2024-12-16T10:03:01.320+01:00, 0.258E-01,  18.60303, 0.42874E+02
     800,2024-12-16T10:03:06.646+01:00, 0.250E-01,  21.01116, 0.48197E+02
     900,2024-12-16T10:03:11.944+01:00, 0.234E-01,  23.31986, 0.53494E+02
    1000,2024-12-16T10:03:17.267+01:00, 0.224E-01,  25.65713, 0.58814E+02
    1100,2024-12-16T10:03:22.550+01:00, 0.214E-01,  28.02457, 0.64093E+02
    1200,2024-12-16T10:03:27.829+01:00, 0.250E-01,  30.39053, 0.69370E+02
    1300,2024-12-16T10:03:33.152+01:00, 0.240E-01,  32.78321, 0.74687E+02
    1400,2024-12-16T10:03:38.424+01:00, 0.194E-01,  35.17472, 0.79958E+02
    1500,2024-12-16T10:03:43.685+01:00, 0.237E-01,  37.47405, 0.85218E+02
    1600,2024-12-16T10:03:49.016+01:00, 0.194E-01,  39.84722, 0.90545E+02
    1700,2024-12-16T10:03:54.270+01:00, 0.226E-01,  42.21506, 0.95798E+02
    1800,2024-12-16T10:03:59.577+01:00, 0.266E-01,  44.59592, 0.10110E+03
    1900,2024-12-16T10:04:04.841+01:00, 0.233E-01,  47.16345, 0.10637E+03
    2000,2024-12-16T10:04:10.042+01:00, 0.393E-01,  50.12960, 0.11155E+03
    2088,2024-12-16T10:04:14.468+01:00, 0.113E+00,  55.00000, 0.11598E+03
