,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-01-20T10:02:40.056+01:00, 0.567E+00,   0.56674, 0.69957E+01
       2,2025-01-20T10:02:40.336+01:00, 0.567E+00,   1.13347, 0.72762E+01
       3,2025-01-20T10:02:40.704+01:00, 0.567E+00,   1.70021, 0.76430E+01
       4,2025-01-20T10:02:40.987+01:00, 0.567E+00,   2.26695, 0.79260E+01
       5,2025-01-20T10:02:41.359+01:00, 0.270E+00,   2.53718, 0.82977E+01
       6,2025-01-20T10:02:41.726+01:00, 0.297E+00,   2.83443, 0.86644E+01
       7,2025-01-20T10:02:42.008+01:00, 0.297E+00,   3.13168, 0.89467E+01
       8,2025-01-20T10:02:42.379+01:00, 0.229E+00,   3.36029, 0.93167E+01
       9,2025-01-20T10:02:42.749+01:00, 0.229E+00,   3.58890, 0.96867E+01
      10,2025-01-20T10:02:43.033+01:00, 0.229E+00,   3.81751, 0.99705E+01
      20,2025-01-20T10:02:46.340+01:00, 0.144E+00,   5.48011, 0.13274E+02
      30,2025-01-20T10:02:49.461+01:00, 0.159E+00,   6.98154, 0.16393E+02
      40,2025-01-20T10:02:52.525+01:00, 0.175E+00,   8.71251, 0.19455E+02
      50,2025-01-20T10:02:55.564+01:00, 0.175E+00,  10.45936, 0.22492E+02
      60,2025-01-20T10:02:58.685+01:00, 0.175E+00,  12.20621, 0.25612E+02
      70,2025-01-20T10:03:01.740+01:00, 0.175E+00,  13.95306, 0.28663E+02
      80,2025-01-20T10:03:04.783+01:00, 0.233E+00,  16.05697, 0.31705E+02
      90,2025-01-20T10:03:08.005+01:00, 0.209E+00,  18.28801, 0.34924E+02
     100,2025-01-20T10:03:11.140+01:00, 0.209E+00,  20.37802, 0.38023E+02
     200,2025-01-20T10:03:41.993+01:00, 0.537E+00,  70.00000, 0.68824E+02
